scheme_code,scheme_name,fund_house,category,sub_category,risk_grade,scheme_type,launch_date,benchmark,exit_load_pct,min_sip
121005,Axis Mutual Fund Large Cap Fund Direct Growth,Axis Mutual Fund,Other,Large Cap,Very High,Open Ended,01-12-2015,Nifty Smallcap 250,1.0,1000
121006,Kotak Mahindra Mid Cap Fund Direct Growth,Kotak Mahindra,Equity,Mid Cap,Low,Close Ended,29-02-2016,Nifty 50,0.5,500
121007,Mirae Asset Small Cap Fund Direct Growth,Mirae Asset,Debt,Small Cap,Moderate,Interval,29-05-2016,Nifty 100,0.5,5000
121008,DSP Mutual Fund Flexi Cap Fund Direct Growth,DSP Mutual Fund,Hybrid,Flexi Cap,Moderately High,Open Ended,27-08-2016,BSE 500,1.0,1000
121009,Franklin Templeton ELSS Fund Direct Growth,Franklin Templeton,Solution Oriented,ELSS,High,Close Ended,25-11-2016,Nifty Midcap 150,0.5,500
121010,UTI Mutual Fund Liquid Fund Direct Growth,UTI Mutual Fund,Other,Liquid,Very High,Interval,23-02-2017,Nifty Smallcap 250,0.5,1000
121011,Tata Mutual Fund Short Duration Fund Direct Growth,Tata Mutual Fund,Equity,Short Duration,Low,Open Ended,24-05-2017,Nifty 50,0.5,5000
121012,Aditya Birla Balanced Advantage Fund Direct Growth,Aditya Birla,Debt,Balanced Advantage,Moderate,Close Ended,22-08-2017,Nifty 100,0.0,500
121013,Canara Robeco Large Cap Fund Direct Growth,Canara Robeco,Hybrid,Large Cap,Moderately High,Interval,20-11-2017,BSE 500,0.0,1000
121014,PGIM India Mid Cap Fund Direct Growth,PGIM India,Solution Oriented,Mid Cap,High,Open Ended,18-02-2018,Nifty Midcap 150,0.5,500
121015,Invesco India Small Cap Fund Direct Growth,Invesco India,Other,Small Cap,Very High,Close Ended,19-05-2018,Nifty Smallcap 250,1.0,5000
121016,Edelweiss Flexi Cap Fund Direct Growth,Edelweiss,Equity,Flexi Cap,Low,Interval,17-08-2018,Nifty 50,0.0,1000
121017,Motilal Oswal ELSS Fund Direct Growth,Motilal Oswal,Debt,ELSS,Moderate,Open Ended,15-11-2018,Nifty 100,1.0,500
121018,Sundaram Liquid Fund Direct Growth,Sundaram,Hybrid,Liquid,Moderately High,Close Ended,13-02-2019,BSE 500,1.0,500
121019,L&T Mutual Fund Short Duration Fund Direct Growth,L&T Mutual Fund,Solution Oriented,Short Duration,High,Interval,14-05-2019,Nifty Midcap 150,0.0,1000
121020,Quantum Mutual Fund Balanced Advantage Fund Direct Growth,Quantum Mutual Fund,Other,Balanced Advantage,Very High,Open Ended,12-08-2019,Nifty Smallcap 250,0.5,5000
